Sample,Species,Host,Country
SRX2527144,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527145,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527146,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527149,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527152,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527154,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527155,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527161,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527163,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527164,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527165,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527166,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527169,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527171,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527174,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527176,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527177,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527178,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527180,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527181,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527183,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527186,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527189,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527191,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527195,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526900,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526902,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526904,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526905,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526906,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526908,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526910,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526911,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526913,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526915,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526916,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526918,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526921,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526922,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526925,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526926,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526927,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526929,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526931,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526937,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526938,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526942,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526944,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526947,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526948,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526949,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526951,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526953,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526955,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526957,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526959,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2526961,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526962,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526964,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526965,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526968,POSSUM-NZ,RESERVOIR,New Zealand
SRX2526970,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526975,CERVINE-NZ,NON-RESERVOIR,New Zealand
SRX2526978,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526980,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526981,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526982,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526984,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526985,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526986,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526987,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526990,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526993,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2526995,BOVINE-NZ,RESERVOIR,New Zealand
SRX2526998,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527002,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527003,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527006,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527007,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2527009,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527011,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527012,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527016,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527018,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527019,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527023,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527025,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527026,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527029,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527031,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527033,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527035,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527036,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527037,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527038,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527039,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527040,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527041,POSSUM-NZ,RESERVOIR,New Zealand
