Sample,Species,Host,Country,Domesticated,
SRX2526981,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526982,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526983,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526984,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526985,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526986,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526987,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526988,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526989,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526990,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526991,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526992,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526993,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2526994,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526995,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526996,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526997,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526998,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2526999,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527000,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527001,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527002,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
