Sample,Species,Host,Country,Domesticated,
SRX5400232,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400233,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400234,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400235,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400236,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400237,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400238,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400239,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400240,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400241,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400242,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400243,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400244,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400245,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400246,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400247,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400248,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400249,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400250,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400251,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400252,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400253,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400255,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400257,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400258,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400259,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400260,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400261,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400262,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400263,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400264,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400265,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400266,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400267,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400268,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400269,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400270,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400271,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400272,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400275,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400276,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400277,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400278,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400280,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400281,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400283,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400286,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400287,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400288,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400289,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400290,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400291,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400296,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400297,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400299,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400300,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400301,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400303,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400304,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400305,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400306,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400307,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400308,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400309,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400310,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400311,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400312,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400313,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400314,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400315,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400316,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400317,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400324,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400325,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400327,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400328,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400329,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400330,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400331,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400332,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400333,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400334,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400335,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400339,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400340,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400341,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400342,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400343,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400344,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400345,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400346,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400347,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400348,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400349,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400350,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
