"","region","gene_name"
"82","LT708304.1","rpfA"
"83","LT708304.1","rpfA"
"84","LT708304.1","rpfA"
"85","LT708304.1","PE_PGRS16"
"86","LT708304.1","PE_PGRS16"
"87","LT708304.1","PE_PGRS16"
"88","LT708304.1","PE_PGRS16"
"89","LT708304.1","PE_PGRS16"
"90","LT708304.1","PE_PGRS17"
"91","LT708304.1","PE_PGRS17"
"92","LT708304.1","PE_PGRS18"
"93","LT708304.1","PE_PGRS18"
"94","LT708304.1","PE_PGRS18"
"95","LT708304.1","PE_PGRS18"
"96","LT708304.1","PE_PGRS18"
"97","LT708304.1","PE_PGRS19"
"98","LT708304.1","PE_PGRS19"
"99","LT708304.1","PE_PGRS20"
"100","LT708304.1","PE_PGRS21"
"101","LT708304.1","PE_PGRS22"
"102","LT708304.1","PE_PGRS22"
"103","LT708304.1","PE_PGRS22"
"104","LT708304.1","BQ2027_MB1179C"
"105","LT708304.1","BQ2027_MB1179C"
"106","LT708304.1","BQ2027_MB1179C"
"107","LT708304.1","PPE18"
"108","LT708304.1","PPE19"
"109","LT708304.1","PPE19"
"110","LT708304.1","PPE19"
"111","LT708304.1","PPE19"
"112","LT708304.1","PPE19"
"113","LT708304.1","PPE19"
"114","LT708304.1","PPE19"
"115","LT708304.1","PPE19"
"116","LT708304.1","PPE19"
"117","LT708304.1","PPE19"
"118","LT708304.1","PPE19"
"119","LT708304.1","PPE19"
"120","LT708304.1","PPE19"
"121","LT708304.1","PPE19"
"122","LT708304.1","PPE19"
"123","LT708304.1","PPE19"
"124","LT708304.1","PPE19"
"125","LT708304.1","PPE19"
"126","LT708304.1","PPE19"
"127","LT708304.1","PPE19"
"128","LT708304.1","PPE19"
"129","LT708304.1","PPE19"
"130","LT708304.1","PPE19"
"131","LT708304.1","PPE19"
"132","LT708304.1","PPE19"
"133","LT708304.1","PPE19"
"134","LT708304.1","PPE19"
"135","LT708304.1","PPE19"
"136","LT708304.1","PPE19"
"137","LT708304.1","PPE19"
"138","LT708304.1","PPE19"
"139","LT708304.1","PPE19"
"140","LT708304.1","PPE19"
"141","LT708304.1","PPE19"
"142","LT708304.1","PPE19"
"143","LT708304.1","PPE19"
"144","LT708304.1","PPE19"
"145","LT708304.1","PPE19"
"146","LT708304.1","PPE19"
"147","LT708304.1","PPE19"
"148","LT708304.1","PPE19"
"149","LT708304.1","PPE19"
"150","LT708304.1","PPE19"
"151","LT708304.1","PPE19"
"152","LT708304.1","PPE19"
"153","LT708304.1","PPE19"
"154","LT708304.1","PPE19"
"155","LT708304.1","PPE19"
"156","LT708304.1","PPE19"
"157","LT708304.1","PPE19"
"158","LT708304.1","PPE19"
"159","LT708304.1","PPE19"
"160","LT708304.1","PPE19"
"161","LT708304.1","PPE19"
"162","LT708304.1","PPE19"
"163","LT708304.1","PPE19"
"164","LT708304.1","PPE19"
"165","LT708304.1","PPE19"
"166","LT708304.1","PPE19"
"167","LT708304.1","PPE19"
"168","LT708304.1","PPE19"
"169","LT708304.1","PPE19"
"170","LT708304.1","PPE19"
"171","LT708304.1","PPE19"
"172","LT708304.1","PE_PGRS27"
"173","LT708304.1","PE_PGRS27"
"174","LT708304.1","BQ2027_MB1551"
"175","LT708304.1","BQ2027_MB1551"
"176","LT708304.1","BQ2027_MB1551"
"177","LT708304.1","BQ2027_MB1551"
"178","LT708304.1","BQ2027_MB1551"
"179","LT708304.1","BQ2027_MB1551"
"180","LT708304.1","BQ2027_MB1551"
"181","LT708304.1","BQ2027_MB1551"
"182","LT708304.1","wbbL2"
"183","LT708304.1","wbbL2"
"184","LT708304.1","BQ2027_MB1553C"
"185","LT708304.1","BQ2027_MB1553C"
"186","LT708304.1","PPE25"
"187","LT708304.1","PPE27"
"188","LT708304.1","PPE27"
"189","LT708304.1","PPE34"
"190","LT708304.1","PPE34"
"191","LT708304.1","PPE34"
"192","LT708304.1","PPE34"
"193","LT708304.1","PPE34"
"194","LT708304.1","PPE34"
"195","LT708304.1","PPE34"
"196","LT708304.1","PPE34"
"197","LT708304.1","PPE34"
"198","LT708304.1","PPE34"
"199","LT708304.1","PPE34"
"200","LT708304.1","PPE34"
"201","LT708304.1","PPE34"
"202","LT708304.1","PPE34"
"203","LT708304.1","PPE34"
"204","LT708304.1","PPE34"
"205","LT708304.1","PPE34"
"206","LT708304.1","PPE34"
"207","LT708304.1","PPE34"
"208","LT708304.1","PPE34"
"209","LT708304.1","PPE34"
"210","LT708304.1","PPE34"
"211","LT708304.1","PPE34"
"212","LT708304.1","PPE34"
"213","LT708304.1","PPE34"
"214","LT708304.1","PPE34"
"215","LT708304.1","PPE34"
"216","LT708304.1","PPE34"
"217","LT708304.1","pks12"
"218","LT708304.1","pks12"
